model,nodes,edges,elements,polygons,bonds,rigids,time
a.s00000112__s00003250.tpn_0.json,74,91,165,19,0,1,6272791
a.s00000112__s00003260.tpn_0.json,100,145,245,27,0,1,7187683
a.s00000112__s00003267.tpn_0.json,87,118,205,23,0,1,8219656
a.s00000113__s00001194.tpn_0.json,83,108,191,22,0,1,8123101
a.s00000115__s00003080.tpn_0.json,76,96,172,20,0,1,3626560
a.s00000115__s00003088.tpn_0.json,80,90,170,21,0,1,3232047
a.s00000117__s00003105.tpn_0.json,98,117,215,26,0,1,4325352
a.s00000117__s00003115.tpn_0.json,163,204,367,43,0,1,10079735
a.s00000119__s00003356.tpn_0.json,44,50,94,11,0,1,2484403
a.s00000121__s00003273.tpn_0.json,59,69,128,15,0,1,2591960
a.s00000121__s00003283.tpn_0.json,94,124,218,24,0,1,7378166
a.s00000121__s00003378.tpn_0.json,134,193,327,35,0,1,10699461
a.s00000123__s00003318.tpn_0.json,94,106,200,24,0,1,9319939
a.s00000123__s00003330.tpn_0.json,86,96,182,22,0,1,7689342
a.s00000125__s00001640.tpn_0.json,72,91,163,18,0,1,6136169
a.s00000125__s00003341.tpn_0.json,44,50,94,11,0,1,5397228
a.s00000127__s00003299.tpn_0.json,83,93,176,22,0,1,7344667
a.s00000131__s00002501.tpn_0.json,55,62,117,14,0,1,4444322
a.s00000131__s00003596.tpn_0.json,106,119,225,28,0,1,4892859
a.s00000131__s00003626.tpn_0.json,104,118,222,27,0,1,8005445
a.s00000131__s00003630.tpn_0.json,97,110,207,25,0,1,8210624
a.s00000131__s00003631.tpn_0.json,69,79,148,17,0,1,3354301
a.s00000131__s00003633.tpn_0.json,104,118,222,27,0,1,5490909
a.s00000131__s00003635.tpn_0.json,80,90,170,20,0,1,3341739
a.s00000131__s00003638.tpn_0.json,76,87,163,19,0,1,4974635
a.s00000131__s00003639.tpn_0.json,76,85,161,19,0,1,3981662
a.s00000135__s00001932.tpn_0.json,57,68,125,14,0,1,2450412
a.s00000137__s00001760.tpn_0.json,85,106,191,22,0,1,5031370
a.s00000137__s00001760.tpn_1.json,26,28,54,6,0,1,1556949
a.s00000139__s00003398.tpn_0.json,26,28,54,6,0,1,1300619
a.s00000141__s00003407.tpn_0.json,106,127,233,28,0,1,6804337
a.s00000141__s00003430.tpn_0.json,115,138,253,31,0,1,9658457
a.s00000141__s00003433.tpn_0.json,69,81,150,18,0,1,4648927
a.s00000143__s00003440.tpn_0.json,39,42,81,9,0,1,1418685
a.s00000145__s00003476.tpn_0.json,90,104,194,24,0,1,5109123
a.s00000145__s00003497.tpn_0.json,51,56,107,13,0,1,1949491
a.s00000147__s00003504.tpn_0.json,68,81,149,18,0,1,3711785
a.s00000147__s00003532.tpn_0.json,39,42,81,9,0,1,1362608
a.s00000147__s00003539.tpn_0.json,37,40,77,9,0,1,1524518
a.s00000147__s00003555.tpn_0.json,37,40,77,9,0,1,2181191
a.s00000147__s00003560.tpn_0.json,37,40,77,9,0,1,1328452
a.s00000149__s00003561.tpn_0.json,73,85,158,19,0,1,3617693
a.s00000149__s00003574.tpn_0.json,71,85,156,19,0,1,4045622
a.s00000153__s00001278.tpn_0.json,113,128,241,31,0,1,6974129
a.s00000157__s00003209.tpn_0.json,53,61,114,14,0,1,2350244
a.s00000159__s00003186.tpn_0.json,53,60,113,13,0,1,3241736
a.s00000159__s00003195.tpn_0.json,94,124,218,24,0,1,7280461
a.s00000161__s00002770.tpn_0.json,108,130,238,28,0,1,6224103
a.s00000161__s00003594.tpn_0.json,84,103,187,22,0,1,4212541
a.s00000161__s00003645.tpn_0.json,62,71,133,16,0,1,3810392
a.s00000161__s00003650.tpn_0.json,84,102,186,22,0,1,4079531
a.s00000161__s00003654.tpn_0.json,72,81,153,18,0,1,3923614
a.s00000161__s00003660.tpn_0.json,39,42,81,9,0,1,4826847
a.s00000161__s00003660.tpn_1.json,28,30,58,6,0,1,1718203
a.s00000161__s00003668.tpn_0.json,44,50,94,11,0,1,2253689
a.s00000163__s00002319.tpn_0.json,33,38,71,8,0,1,2125277
a.s00000163__s00002319.tpn_1.json,28,30,58,6,0,1,1531989
a.s00000163__s00002817.tpn_0.json,28,30,58,6,0,1,1343806
a.s00000163__s00002817.tpn_1.json,33,38,71,8,0,1,1829865
a.s00000163__s00002857.tpn_0.json,33,38,71,8,0,1,2156477
a.s00000163__s00002857.tpn_1.json,28,30,58,6,0,1,1830029
a.s00000163__s00002890.tpn_0.json,28,30,58,6,0,1,1458588
a.s00000163__s00002890.tpn_1.json,33,38,71,8,0,1,2320194
a.s00000163__s00003092.tpn_0.json,68,78,146,18,0,1,3631568
a.s00000165__s00003643.tpn_0.json,37,40,77,9,0,1,4576100
